,name,index,missrate,cpi,,,,,,,
0,fft_0000111.txt,0 0 0 0 1 1 1,0.055048459,1.737028,,,,,3.96,2.48,1.596774194
0,fft_0011101.txt,0 0 1 1 1 0 1,0.053068227,1.619843,,,,,2.48,1.833,1.352973268
1,fft_0001212.txt,0 0 0 1 2 1 2,0.05300025,1.726713,,,,,1.833,1.43,1.281818182
2,fft_0013307.txt,0 0 1 3 3 0 7,0.046167716,1.591994,,,,,1.43,,
3,fft_0020115.txt,0 0 2 0 1 1 5,0.055140603,1.497622,,,,,,,
4,fft_0031204.txt,0 0 3 1 2 0 4,0.052944998,1.326556,,,,,,,
5,fft_0033311.txt,0 0 3 3 3 1 1,0.046061666,1.300053,,,,,,,
6,fft_0040112.txt,0 0 4 0 1 1 2,0.055033956,1.335744,,,,,,,
7,fft_0041005.txt,0 0 4 1 0 0 5,0.053056047,1.326522,,,,,,,
8,fft_0041016.txt,0 0 4 1 0 1 6,0.053056047,1.326522,,,,,,,
9,fft_0044006.txt,0 0 4 4 0 0 6,0.041506696,1.273692,,,,,,,
10,fft_0060101.txt,0 0 6 0 1 0 1,0.055026274,1.336661,,,,,,,
11,fft_0064002.txt,0 0 6 4 0 0 2,0.04150634,1.273827,,,,,,,
12,fft_1105105.txt,1 1 0 5 1 0 5,0.039913447,1.509207,,,,,,,
13,fft_1111113.txt,1 1 1 1 1 1 3,0.052484004,1.528657,,,,,,,
14,fft_1113013.txt,1 1 1 3 0 1 3,0.045581822,1.506251,,,,,,,
15,fft_1114112.txt,1 1 1 4 1 1 2,0.040968885,1.489726,,,,,,,
16,fft_1124207.txt,1 1 2 4 2 0 7,0.04092212,1.342418,,,,,,,
17,fft_1141210.txt,1 1 4 1 2 1 0,0.052325981,1.251812,,,,,,,
18,fft_1144111.txt,1 1 4 4 1 1 1,0.040838492,1.197065,,,,,,,
19,fft_1145016.txt,1 1 4 5 0 1 6,0.039824652,1.194671,,,,,,,
20,fft_1152017.txt,1 1 5 2 0 1 7,0.047236607,1.219738,,,,,,,
20,fft_2352304.txt,2 3 5 2 3 0 4,0.210912291,1.971471,,,,,,,
21,fft_2201310.txt,2 2 0 1 3 1 0,0.051976729,1.479149,,,,,,,
22,fft_2214106.txt,2 2 1 4 1 0 6,0.040602736,1.4207,,,,,,,
23,fft_2234205.txt,2 2 3 4 2 0 5,0.040469486,1.146528,,,,,,,
24,fft_2252015.txt,2 2 5 2 0 1 5,0.046782098,1.164605,,,,,,,
25,fft_2264112.txt,2 2 6 4 1 1 2,0.040471482,1.146381,,,,,,,
26,fft_2265113.txt,2 2 6 5 1 1 3,0.039465147,1.143124,,,,,,,
27,fft_3300214.txt,3 3 0 0 2 1 4,0.053892346,1.434374,,,,,,,
28,fft_3312301.txt,3 3 1 2 3 0 1,0.046886779,1.366762,,,,,,,
29,fft_3315216.txt,3 3 1 5 2 1 6,0.039566343,1.351369,,,,,,,
30,fft_3321101.txt,3 3 2 1 1 0 1,0.051838085,1.201808,,,,,,,
31,fft_3324106.txt,3 3 2 4 1 0 6,0.040455685,1.166439,,,,,,,
32,fft_3343211.txt,3 3 4 3 2 1 1,0.045005904,1.154488,,,,,,,
33,fft_3343307.txt,3 3 4 3 3 0 7,0.045004719,1.15432,,,,,,,
34,fft_3350104.txt,3 3 5 0 1 0 4,0.053758572,1.183711,,,,,,,
35,fft_3351117.txt,3 3 5 1 1 1 7,0.051836518,1.176477,,,,,,,
36,fft_3354214.txt,3 3 5 4 2 1 4,0.040441212,1.142191,,,,,,,
37,fft_3362103.txt,3 3 6 2 1 0 3,0.046744904,1.159777,,,,,,,
38,fft_3362215.txt,3 3 6 2 2 1 5,0.046744972,1.159777,,,,,,,
39,fft_4400311.txt,4 4 0 0 3 1 1,0.053285613,1.153701,,,,,,,
40,fft_4404310.txt,4 4 0 4 3 1 0,0.040004868,1.126154,,,,,,,
41,fft_4421003.txt,4 4 2 1 0 0 3,0.051314949,1.14492,,,,,,,
42,fft_4423301.txt,4 4 2 3 3 0 1,0.044530052,1.123839,,,,,,,
43,fft_4431217.txt,4 4 3 1 2 1 7,0.051288238,1.142838,,,,,,,
44,fft_4432207.txt,4 4 3 2 2 0 7,0.046291492,1.128047,,,,,,,
45,fft_4433007.txt,4 4 3 3 0 0 7,0.044535439,1.122838,,,,,,,
46,fft_4434211.txt,4 4 3 4 2 1 1,0.039981664,1.109855,,,,,,,
47,fft_4440014.txt,4 4 4 0 0 1 4,0.053280744,1.150974,,,,,,,
48,fft_4445107.txt,4 4 4 5 1 0 7,0.038977134,1.106887,,,,,,,
49,fft_4461110.txt,4 4 6 1 1 1 0,0.05131014,1.156007,,,,,,,
50,fft_4462110.txt,4 4 6 2 1 1 0,0.046290744,1.140092,,,,,,,
51,fft_5500206.txt,5 5 0 0 2 0 6,0.053134281,1.147251,,,,,,,
52,fft_5504000.txt,5 5 0 4 0 0 0,0.039903922,1.119592,,,,,,,
53,fft_5521303.txt,5 5 2 1 3 0 3,0.05117316,1.140196,,,,,,,
54,fft_5530214.txt,5 5 3 0 2 1 4,0.053131711,1.147209,,,,,,,
55,fft_5532006.txt,5 5 3 2 0 0 6,0.046182806,1.12428,,,,,,,
56,fft_5534100.txt,5 5 3 4 1 0 0,0.039903811,1.119498,,,,,,,
57,fft_5543201.txt,5 5 4 3 2 0 1,0.044432159,1.119046,,,,,,,
58,fft_5545305.txt,5 5 4 5 3 0 5,0.038895481,1.104472,,,,,,,
59,fft_5553013.txt,5 5 5 3 0 1 3,0.044430552,1.118983,,,,,,,
60,fft_5561003.txt,5 5 6 1 0 0 3,0.051180032,1.140125,,,,,,,
61,fft_5562316.txt,5 5 6 2 3 1 6,0.046181238,1.124164,,,,,,,
62,fft_5564306.txt,5 5 6 4 3 0 6,0.039905097,1.107262,,,,,,,
63,fft_6602306.txt,6 6 0 2 3 0 6,0.046181238,1.124157,,,,,,,
64,fft_6604216.txt,6 6 0 4 2 1 6,0.03990843,1.107261,,,,,,,
65,fft_6604316.txt,6 6 0 4 3 1 6,0.03990843,1.107261,,,,,,,
66,fft_6610103.txt,6 6 1 0 1 0 3,0.053116356,1.147044,,,,,,,
67,fft_6611217.txt,6 6 1 1 2 1 7,0.051187284,1.140149,,,,,,,
68,fft_6614002.txt,6 6 1 4 0 0 2,0.039906272,1.107301,,,,,,,
69,fft_6623212.txt,6 6 2 3 2 1 2,0.044432362,1.118939,,,,,,,
